Td  ID  Tj   Ta   Df   Dd   Db
303    2687    303    303    0    0    0
303    2689    303    303    0    0    0
303    2693    303    303    0    0    0
304    2677    295    295    0    9    9
305    2690    303    303    0    2    2
305    2679    295    295    0    10    10
306    2706    305    305    0    1    1
306    2688    303    303    0    3    3
306    2707    305    305    0    1    1
306    2690    303    303    0    3    3
306    2668    291    291    0    15    15
306    2690    303    303    0    3    3
306    2707    305    305    0    1    1
307    2694    304    304    0    3    3
307    2701    305    305    0    2    2
307    2703    305    305    0    2    2
307    2695    304    304    0    3    3
307    2697    304    304    0    3    3
307    2683    301    301    0    6    6
308    2707    305    305    0    3    3
308    2681    301    301    0    7    7
309    442    201    204    3    105    108
309    415    197    199    2    110    112
309    443    204    207    3    102    105
309    369    179    182    3    127    130
309    410    196    199    3    110    113
309    397    191    194    3    115    118
309    468    210    214    4    95    99
309    446    204    207    3    102    105
309    712    309    309    0    0    0
310    2712    309    309    0    1    1
310    2709    309    309    0    1    1
310    2707    305    305    0    5    5
310    2692    303    303    0    7    7
312    2717    311    311    0    1    1
312    2718    311    311    0    1    1
312    2720    311    311    0    1    1
312    2710    309    309    0    3    3
312    2712    309    309    0    3    3
312    2716    311    311    0    1    1
312    2712    309    309    0    3    3
312    2702    305    305    0    7    7
313    2700    304    304    0    9    9
314    2699    304    304    0    10    10
314    2696    304    304    0    10    10
318    2713    309    309    0    9    9
321    2716    311    311    0    10    10
321    2708    309    309    0    12    12
323    2715    311    311    0    12    12
323    2719    311    311    0    12    12
324    2727    320    320    0    4    4
324    2728    320    320    0    4    4
324    2726    320    320    0    4    4
326    2722    320    320    0    6    6
327    2730    325    325    0    2    2
328    2725    320    320    0    8    8
329    2724    320    320    0    9    9
331    2741    330    330    0    1    1
331    2740    330    330    0    1    1
332    2740    330    330    0    2    2
333    2737    330    330    0    3    3
333    2731    325    325    0    8    8
334    2729    325    325    0    9    9
335    2742    330    330    0    5    5
335    2733    325    325    0    10    10
335    2734    325    325    0    10    10
335    2735    325    325    0    10    10
335    2732    325    325    0    10    10
335    2738    330    330    0    5    5
335    2744    335    335    0    0    0
335    2747    335    335    0    0    0
335    2748    335    335    0    0    0
335    2749    335    335    0    0    0
339    2736    330    330    0    9    9
339    2736    330    330    0    9    9
340    2753    336    336    0    4    4
340    2759    338    338    0    2    2
340    2760    338    338    0    2    2
340    2762    338    338    0    2    2
340    2763    338    338    0    2    2
340    2752    336    336    0    4    4
340    2766    339    339    0    1    1
340    2769    339    339    0    1    1
340    2770    339    340    1    0    1
340    2771    340    340    0    0    0
340    2714    309    309    0    31    31
340    383    186    200    14    140    154
340    440    201    204    3    136    139
340    404    193    195    2    145    147
340    370    179    193    14    147    161
340    453    206    213    7    127    134
340    456    206    213    7    127    134
340    464    210    213    3    127    130
340    470    210    214    4    126    130
340    423    198    201    3    139    142
340    433    200    203    3    137    140
340    772    340    340    0    0    0
341    2714    309    309    0    32    32
341    2755    336    336    0    5    5
341    2745    335    335    0    6    6
342    2704    305    305    0    37    37
342    2580    242    242    0    100    100
342    2704    305    305    0    37    37
342    2704    305    305    0    37    37
342    2746    335    335    0    7    7
343    2768    339    339    0    4    4
343    2756    336    336    0    7    7
343    2750    336    336    0    7    7
344    2768    339    339    0    5    5
344    2704    305    305    0    39    39
344    2743    335    335    0    9    9
345    2784    341    341    0    4    4
345    2779    341    341    0    4    4
345    2757    338    338    0    7    7
346    2765    339    339    0    7    7
347    2784    341    341    0    6    6
348    2791    346    346    0    2    2
348    2782    341    341    0    7    7
349    2773    340    340    0    9    9
349    2774    340    340    0    9    9
349    2777    340    340    0    9    9
350    2791    346    346    0    4    4
351    2790    346    346    0    5    5
351    2772    340    341    1    10    11
351    2778    341    341    0    10    10
351    2781    341    341    0    10    10
351    2775    340    341    1    10    11
351    2789    346    346    0    5    5
354    2785    346    346    0    8    8
354    514    228    236    8    118    126
354    517    228    236    8    118    126
354    535    233    237    4    117    121
354    490    217    221    4    133    137
354    521    230    239    9    115    124
354    525    230    239    9    115    124
354    538    233    242    9    112    121
354    488    217    225    8    129    137
354    467    210    218    8    136    144
354    462    207    210    3    144    147
354    801    354    354    0    0    0
355    2787    346    346    0    9    9
355    2788    346    346    0    9    9
357    2802    354    354    0    3    3
357    2798    353    353    0    4    4
357    2797    353    353    0    4    4
357    2801    354    354    0    3    3
357    2809    357    357    0    0    0
357    2812    357    357    0    0    0
357    2795    353    353    0    4    4
359    2807    357    357    0    2    2
359    2808    357    357    0    2    2
359    2800    354    354    0    5    5
359    2796    353    353    0    6    6
359    2783    341    341    0    18    18
359    2793    353    353    0    6    6
359    2792    353    355    2    4    6
359    2792    353    355    2    4    6
359    2796    353    353    0    6    6
361    2819    361    361    0    0    0
361    2783    341    341    0    20    20
361    539    233    237    4    124    128
361    501    225    228    3    133    136
361    503    225    238    13    123    136
361    522    230    239    9    122    131
361    508    226    230    4    131    135
361    510    226    230    4    131    135
361    482    216    224    8    137    145
361    506    226    234    8    127    135
361    518    228    236    8    125    133
361    537    233    237    4    124    128
361    820    361    361    0    0    0
362    2813    361    361    0    1    1
362    2804    354    354    0    8    8
362    2805    354    354    0    8    8
363    2818    361    361    0    2    2
365    2826    364    364    0    1    1
365    2825    364    364    0    1    1
365    2822    364    364    0    1    1
365    2811    357    357    0    8    8
366    2825    364    364    0    2    2
366    2820    364    365    1    1    2
366    2810    357    357    0    9    9
366    542    235    239    4    127    131
366    547    235    239    4    127    131
366    581    242    264    22    102    124
366    540    233    242    9    124    133
366    556    238    242    4    124    128
366    574    241    246    5    120    125
366    580    242    252    10    114    124
366    529    231    235    4    131    135
366    591    259    267    8    99    107
366    595    259    267    8    99    107
366    832    366    366    0    0    0
367    2827    366    366    0    1    1
367    2833    366    366    0    1    1
367    2824    364    364    0    3    3
367    2806    357    357    0    10    10
368    2828    366    366    0    2    2
368    2815    361    361    0    7    7
369    2825    364    364    0    5    5
370    2814    361    361    0    9    9
370    2816    361    361    0    9    9
375    2836    374    374    0    1    1
375    2838    374    374    0    1    1
375    2834    374    374    0    1    1
375    2835    374    374    0    1    1
375    2821    364    364    0    11    11
376    2828    366    366    0    10    10
376    2832    366    366    0    10    10
376    2830    366    366    0    10    10
378    2831    366    366    0    12    12
380    2847    380    380    0    0    0
381    2847    380    380    0    1    1
381    2841    380    380    0    1    1
381    2839    374    374    0    7    7
381    2840    374    374    0    7    7
382    2845    380    380    0    2    2
383    2844    380    380    0    3    3
383    2842    380    380    0    3    3
383    2853    383    383    0    0    0
383    2854    383    383    0    0    0
383    2843    380    380    0    3    3
384    2849    383    383    0    1    1
386    2861    385    385    0    1    1
386    2856    385    385    0    1    1
386    2862    386    386    0    0    0
386    2864    386    386    0    0    0
387    2863    386    386    0    1    1
394    2867    386    386    0    8    8
387    2808    357    357    0    30    30
387    2867    386    386    0    1    1
387    2846    380    380    0    7    7
387    2846    380    380    0    7    7
388    2867    386    386    0    2    2
389    2860    385    385    0    4    4
391    2860    385    385    0    6    6
391    2851    383    383    0    8    8
392    2850    383    383    0    9    9
393    2875    393    393    0    0    0
393    2874    393    393    0    0    0
393    2848    383    383    0    10    10
393    867    386    386    0    7    7
394    2867    386    386    0    8    8
394    2859    385    385    0    9    9
394    2857    385    385    0    9    9
395    2881    394    394    0    1    1
395    2880    394    394    0    1    1
396    2876    394    394    0    2    2
396    2865    386    386    0    10    10
398    579    242    247    5    151    156
398    555    238    247    9    151    160
398    606    265    268    3    130    133
398    609    265    268    3    130    133
398    604    265    273    8    125    133
398    632    274    283    9    115    124
398    638    274    283    9    115    124
398    618    267    275    8    123    131
398    625    268    276    8    122    130
398    892    398    398    0    0    0
400    2871    393    393    0    7    7
400    2872    393    393    0    7    7
401    2882    394    394    0    7    7
402    2783    341    341    0    61    61
402    2869    393    393    0    9    9
402    630    268    276    8    126    134
402    643    276    280    4    122    126
402    627    268    272    4    130    134
402    605    265    273    8    129    137
402    636    274    283    9    119    128
402    607    265    283    18    119    137
402    597    261    265    4    137    141
402    602    261    265    4    137    141
402    612    266    284    18    118    136
402    590    259    267    8    135    143
402    909    402    402    0    0    0
403    2896    398    399    1    4    5
403    2869    393    393    0    10    10
403    2869    393    393    0    10    10
403    2877    394    394    0    9    9
404    2873    393    393    0    11    11
404    2896    398    399    1    5    6
405    2900    401    402    1    3    4
406    2878    394    394    0    12    12
406    2900    401    402    1    4    5
406    2900    401    402    1    4    5
406    2897    401    401    0    5    5
406    2900    401    402    1    4    5
407    2870    393    393    0    14    14
407    2879    394    394    0    13    13
407    2889    397    397    0    10    10
407    2888    397    397    0    10    10
407    2884    397    397    0    10    10
408    2897    401    401    0    7    7
409    2900    401    402    1    7    8
409    2903    401    401    0    8    8
409    631    268    276    8    133    141
409    646    285    288    3    121    124
409    640    276    280    4    129    133
409    648    285    292    7    117    124
409    616    266    275    9    134    143
409    621    267    275    8    134    142
409    639    276    293    17    116    133
409    650    285    288    3    121    124
409    700    304    309    5    100    105
409    924    409    409    0    0    0
410    2893    398    398    0    12    12
410    2899    401    401    0    9    9
410    2886    397    397    0    13    13
411    2895    398    398    0    13    13
411    2901    401    401    0    10    10
411    2924    409    409    0    2    2
411    2890    398    398    0    13    13
411    2909    402    402    0    9    9
412    2912    404    404    0    8    8
412    2907    402    402    0    10    10
412    2898    401    401    0    11    11
412    2915    404    404    0    8    8
412    2906    402    402    0    10    10
413    2910    402    402    0    11    11
413    658    288    300    12    113    125
413    686    301    311    10    102    112
413    663    289    301    12    112    124
413    665    289    293    4    120    124
413    677    295    304    9    109    118
413    708    305    322    17    91    108
413    653    288    295    7    118    125
413    685    301    306    5    107    112
413    687    301    306    5    107    112
413    929    413    413    0    0    0
414    2934    414    414    0    0    0
414    2908    402    402    0    12    12
414    728    320    325    5    89    94
414    697    304    309    5    105    110
414    698    304    309    5    105    110
414    699    304    309    5    105    110
414    675    295    298    3    116    119
414    680    295    298    3    116    119
414    669    291    298    7    116    123
414    705    305    310    5    104    109
414    707    305    310    5    104    109
414    724    320    342    22    72    94
414    930    413    414    1    0    1
415    2932    414    414    0    1    1
415    2904    402    404    2    11    13
418    695    304    320    16    98    114
418    701    304    321    17    97    114
418    720    311    322    11    96    107
418    666    289    306    17    112    129
418    725    320    325    5    93    98
418    688    303    307    4    111    115
418    719    311    328    17    90    107
418    740    330    341    11    77    88
418    940    418    418    0    0    0
419    2913    404    404    0    15    15
419    2914    404    406    2    13    15
419    2916    404    405    1    14    15
419    2894    398    398    0    21    21
419    2925    413    413    0    6    6
419    2927    413    415    2    4    6
419    2940    418    419    1    0    1
419    2941    418    419    1    0    1
419    2942    418    419    1    0    1
419    2944    418    419    1    0    1
419    2939    418    418    0    1    1
419    2923    409    409    0    10    10
419    2922    409    409    0    10    10
422    2926    413    413    0    9    9
422    2936    414    414    0    8    8
423    2947    421    421    0    2    2
423    2933    414    414    0    9    9
423    2937    414    414    0    9    9
426    2949    421    422    1    4    5
426    2950    421    422    1    4    5
426    2951    421    422    1    4    5
426    2952    421    422    1    4    5
426    2938    414    415    1    11    12
426    2928    413    414    1    12    13
426    2929    413    414    1    12    13
426    2930    413    414    1    12    13
426    2931    413    414    1    12    13
426    2918    409    409    0    17    17
427    2920    409    410    1    17    18
427    2943    418    418    0    9    9
428    2946    421    421    0    7    7
429    2948    421    421    0    8    8
429    2948    421    421    0    8    8
430    2919    409    411    2    19    21
431    2935    414    415    1    16    17
434    947    421    421    0    13    13
435    2954    434    434    0    1    1
435    2963    435    435    0    0    0
435    2966    435    435    0    0    0
436    2957    434    434    0    2    2
436    2958    434    434    0    2    2
436    2959    434    434    0    2    2
436    2945    418    420    2    16    18
436    2960    435    435    0    1    1
436    2964    435    435    0    1    1
436    2965    435    435    0    1    1
436    2953    434    434    0    2    2
436    2967    436    436    0    0    0
437    2974    437    437    0    0    0
437    2980    437    437    0    0    0
437    2977    437    437    0    0    0
437    2956    434    434    0    3    3
437    2972    436    436    0    1    1
437    2976    437    437    0    0    0
437    2975    437    437    0    0    0
437    2979    437    437    0    0    0
437    2972    436    436    0    1    1
437    2966    435    435    0    2    2
437    760    338    343    5    94    99
437    764    338    343    5    94    99
437    713    309    320    11    117    128
437    715    309    320    11    117    128
437    718    311    322    11    115    126
437    721    311    328    17    109    126
437    749    335    340    5    97    102
437    762    338    343    5    94    99
437    771    339    344    5    93    98
437    981    437    437    0    0    0
438    777    340    345    5    93    98
441    747    335    345    10    96    106
441    780    341    346    5    95    100
441    769    339    349    10    92    102
441    991    441    441    0    0    0
442    2955    434    434    0    8    8
442    2955    434    434    0    8    8
443    2962    435    435    0    8    8
444    2985    440    440    0    4    4
444    2978    437    437    0    7    7
445    2989    441    441    0    4    4
446    2994    441    441    0    5    5
446    2976    437    437    0    9    9
447    2994    441    441    0    6    6
448    2982    440    440    0    8    8
449    2969    436    437    1    12    13
450    2981    440    440    0    10    10
450    3004    447    447    0    3    3
458    3004    447    447    0    11    11
451    2968    436    437    1    14    15
451    3004    447    447    0    4    4
451    2988    441    441    0    10    10
452    3001    444    445    1    7    8
452    2970    436    437    1    15    16
452    2973    436    437    1    15    16
452    2983    440    440    0    12    12
452    2984    440    440    0    12    12
452    2986    440    440    0    12    12
452    2990    441    441    0    11    11
452    2992    441    441    0    11    11
452    2993    441    443    2    9    11
452    2997    444    445    1    7    8
452    3002    447    447    0    5    5
455    2999    444    444    0    11    11
456    2996    444    444    0    12    12
457    2998    444    445    1    12    13
457    2995    444    444    0    13    13
458    3004    447    447    0    11    11
458    3006    447    447    0    11    11
459    3005    447    447    0    12    12
459    3003    447    447    0    12    12
460    3012    458    458    0    2    2
461    3000    444    445    1    16    17
463    3022    461    461    0    2    2
463    3013    458    458    0    5    5
463    3024    462    462    0    1    1
463    3020    461    461    0    2    2
463    3030    463    463    0    0    0
463    3036    463    463    0    0    0
465    3021    461    461    0    4    4
465    3014    458    458    0    7    7
466    3021    461    461    0    5    5
466    3021    461    461    0    5    5
466    3015    458    458    0    8    8
466    3009    458    458    0    8    8
467    3029    462    462    0    5    5
468    3037    468    468    0    0    0
468    3039    468    468    0    0    0
468    3042    468    468    0    0    0
468    3016    461    461    0    7    7
468    727    320    331    11    137    148
468    739    330    346    16    122    138
468    709    309    337    28    131    159
468    763    338    348    10    120    130
468    770    339    349    10    119    129
468    795    353    367    14    101    115
468    753    336    340    4    128    132
468    822    364    375    11    93    104
468    1042    468    468    0    0    0
469    3029    462    462    0    7    7
469    3019    461    461    0    8    8
469    3021    461    461    0    8    8
469    3027    462    462    0    7    7
469    3026    462    462    0    7    7
470    3044    470    470    0    0    0
470    3046    470    470    0    0    0
470    3050    470    470    0    0    0
470    3049    470    470    0    0    0
470    3043    468    468    0    2    2
470    3041    468    468    0    2    2
470    3021    461    461    0    9    9
470    3043    468    468    0    2    2
470    3043    468    468    0    2    2
470    3023    462    462    0    8    8
470    3035    463    463    0    7    7
470    3028    462    462    0    8    8
471    3049    470    470    0    1    1
471    3021    461    461    0    10    10
471    3033    463    463    0    8    8
472    3052    471    471    0    1    1
472    3054    471    471    0    1    1
473    3054    471    471    0    2    2
474    3053    471    471    0    3    3
474    3048    470    470    0    4    4
474    3047    470    470    0    4    4
474    3061    473    473    0    1    1
474    3062    473    473    0    1    1
474    3051    471    471    0    3    3
474    3065    474    474    0    0    0
474    3067    474    474    0    0    0
475    3064    473    473    0    2    2
475    3063    473    473    0    2    2
475    3055    471    471    0    4    4
475    3063    473    473    0    2    2
475    3066    474    474    0    1    1
475    3071    474    474    0    1    1
475    3059    473    473    0    2    2
475    3070    474    474    0    1    1
475    3069    474    474    0    1    1
475    3063    473    473    0    2    2
475    3040    468    468    0    7    7
477    3057    471    471    0    6    6
481    3059    473    473    0    8    8
482    3076    480    480    0    2    2
484    3068    474    474    0    10    10
484    3068    474    474    0    10    10
485    3071    474    474    0    11    11
486    3079    485    485    0    1    1
486    3081    485    485    0    1    1
487    3073    480    480    0    7    7
487    3080    485    485    0    2    2
487    3083    485    485    0    2    2
487    3078    480    480    0    7    7
487    3072    480    480    0    7    7
487    3082    485    485    0    2    2
488    3091    488    488    0    0    0
488    3087    488    488    0    0    0
489    3074    480    480    0    9    9
489    3077    480    480    0    9    9
490    3093    489    489    0    1    1
490    3095    489    489    0    1    1
490    3096    489    489    0    1    1
490    3099    489    489    0    1    1
490    3090    488    488    0    2    2
492    3092    488    488    0    4    4
492    3092    488    488    0    4    4
492    872    393    399    6    93    99
492    878    394    399    5    93    98
492    811    357    382    25    110    135
492    855    383    401    18    91    109
492    751    336    345    9    147    156
492    742    330    336    6    156    162
492    800    354    361    7    131    138
492    744    335    340    5    152    157
492    1101    492    492    0    0    0
494    3085    485    485    0    9    9
495    3104    492    492    0    3    3
495    3104    492    492    0    3    3
496    3117    496    496    0    0    0
496    3114    496    496    0    0    0
496    3088    488    488    0    8    8
497    3104    492    492    0    5    5
497    3089    488    488    0    9    9
497    3097    489    489    0    8    8
498    3106    492    492    0    6    6
Battle Result: WIN
Earth Army Stats:
Total ES Units: 426
Total EG units: 390
Total ET units: 256
Percentage of destructed ES = 68 %
Percentage of destructed EG = 10 %
Percentage of destructed ET = 12 %
Percentage of Healed = 9% 
Percentage of Total destructed = 33%
Average of Df: 3
Average of Dd: 68
Average of Db: 72
Df/Db = 4.16667% 
Dd/Db =94.4444%
                                                                    

Alien Army Stats: 
Total AS units: 413
Total AM units: 426
Total AD units: 281
Percentage of destructed AS = 96% 
Percentage of destructed AM = 100% 
Percentage of destructed AD = 100%
Average of Df: 0
Average of Dd: 8
Average of Db: 8
Df/Db = 0%
Dd/Db = 100%
